                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 2.8725,                 1.6278,                 0.8858,                0.09392,                0.22772,                0.04419,                0.01111,                 2.8873,                 77.274,                0.83421,              0.0013268,              0.0013268,              0.0013268
                     37,                 2.9518,                 1.6519,                0.89552,                0.31886,                0.27349,                0.17234,                0.04394,                 3.0404,                 9.5415,                0.84509,               0.001307,               0.001307,               0.001307
                     38,                 2.8608,                 1.8243,                0.89259,                0.48714,                0.32673,                0.26547,                0.07631,                 2.5529,                 1.7806,                0.81439,              0.0012872,              0.0012872,              0.0012872
                     39,                 2.8805,                 1.7158,                0.88503,                0.60589,                0.41584,                 0.4288,                0.14183,                 2.3577,                 1.5991,                0.80463,              0.0012674,              0.0012674,              0.0012674
                     40,                 2.7199,                 1.5984,                 0.9033,                0.70194,                0.42574,                 0.4224,                0.12239,                 2.4333,                 1.5421,                0.81529,              0.0012476,              0.0012476,              0.0012476
                     41,                 2.6884,                 1.5313,                0.87275,                0.67789,                0.40594,                 0.4288,                0.13484,                  2.415,                 1.5415,                0.81209,              0.0012278,              0.0012278,              0.0012278
                     42,                 2.6405,                 1.5346,                0.88364,                0.76596,                0.42574,                0.42404,                0.11641,                 2.4529,                 1.6564,                0.81761,               0.001208,               0.001208,               0.001208
                     43,                 2.6219,                 1.5324,                0.88292,                0.72112,                0.48644,                0.53388,                0.16517,                 2.2709,                 1.2169,                0.80755,              0.0011882,              0.0011882,              0.0011882
                     44,                 2.7605,                 1.5452,                0.87095,                0.64324,                0.38614,                0.45855,                0.13791,                 2.3981,                 1.4971,                0.80175,              0.0011684,              0.0011684,              0.0011684
                     45,                 2.7762,                 1.5746,                0.85035,                0.62513,                0.34653,                 0.4025,                0.11936,                 2.4482,                 1.7314,                0.79652,              0.0011486,              0.0011486,              0.0011486
                     46,                 2.6784,                 1.4495,                 0.8722,                0.59197,                0.10891,                0.19847,                0.06208,                 2.6669,                 2.0896,                0.79298,              0.0011288,              0.0011288,              0.0011288
